twid,tweep,twtext,fav,rt,url
603146539922563072,NBCNews,#BREAKING: Charter agrees to buy Time Warner for $55 billion http://t.co/Q1DGWxiOsA http://t.co/1Gb9QQd6HY,42,114,http://nbcnews.to/1RjPqh2
603142612267204608,NBCNews,VIDEO: Woman recalls heartbreaking last words to sister swept away with kids in flooding http://t.co/kfHx68wNfD http://t.co/VMfdkRn9oV,32,37,http://nbcnews.to/1AvhR7a
603137738829864960,NBCNews,'Literally no way out' of flood-ravaged Houston mall http://t.co/4bycvGiZoE #houstonflood http://t.co/HYzDz3iQgZ,41,95,http://nbcnews.to/1KjLrNq
603135516196917248,NBCNews,"Nine brains found next to train tracks in NY, via @NBCNewYork http://t.co/oT3sBWw3Ei",65,96,
603132608621486080,NBCNews,UPDATED: 30 million told to brace for dangerous storms as Houston hit by record floods http://t.co/1dGRNEFlnA http://t.co/M76Ybrq637,31,102,http://nbcnews.to/1KjISLe
603131736113979392,NBCNews,"Watch live coverage of the record flooding in Houston, via NBC affiliate @KPRC2  http://t.co/g3fareMj4m",16,36,http://nbcnews.to/1SzPU43
603128166438346753,NBCNews,Iraq launches operation to drive ISIS out of Anbar http://t.co/A0p3BxsBKG http://t.co/vic9hGw72x,26,43,http://nbcnews.to/1RjF7JN
603127169406107649,NBCNews,Pope Francis says he hasn't watched TV since 1990 http://t.co/ARoKhzIm2W http://t.co/RBRT1WXVJz,85,78,http://nbcnews.to/1KjFLTq
603125157255901185,NBCNews,IT chief at Bangladesh Coca-Cola unit arrested as ISIS suspect http://t.co/WTGPmAd0q2,25,34,http://nbcnews.to/1LEsRAl
603123302220091392,NBCNews,Houston submerged by unprecedented flooding; warnings issued across eight states http://t.co/hlsbmjontx http://t.co/RRfBxWOqQt,19,51,http://nbcnews.to/1cfGo4I
603122910568521728,NBCNews,VIDEO: Dozens killed when fire sweeps through Chinese nursing home  http://t.co/7n5b8rFN94 http://t.co/I6mQvUHyKF,16,21,http://nbcnews.to/1J1MJ0E
603118067011493889,NBCNews,"Mexico border city tornado leaves 13 dead, 230 injured http://t.co/bUZUMDVkds http://t.co/eh2ujP8Eel",21,51,http://nbcnews.to/1Q7ZPtQ
603113118399635457,NBCNews,"Al Shabab gunmen, landmines kill 25 cops in Kenya http://t.co/pz2HTVyfgt",6,16,http://nbcnews.to/1FAGu1s
