twid,tweep,twtext,fav,rt,url
588354261878239232,CBSNews,MORE: Aaron Hernandez guilty of first-degree murder; he faces life in prison without parole http://t.co/lcAfJvFHCl http://t.co/zZS7i54AJB,80,148,http://cbsn.ws/1aV16qc
588352945894383616,CBSNLive,".@BenVolin calls Aaron Hernandez's trajectory from star tight end to convicted murderer ""shocking turn of events."" http://t.co/1FbiiEXh00",23,33,
588347782127362049,CBSNews,WATCH LIVE: Aaron Hernandez found guilty of murder by jury http://t.co/8xqwPA28lS via @CBSNLive http://t.co/vp0hCS5scf,124,263,http://cbsn.ws/1aUTJ21
588347134690336768,CBSNews,BREAKING: Former Patriots star Aaron Hernandez found guilty of first-degree murder http://t.co/scWsku8HOn http://t.co/MUxwdU7A58,240,484,http://cbsn.ws/1b36kAV
588344299630243840,CBSNews,JUST IN: Jury reaches verdict in murder trial of former NFL star Aaron Hernandez.,41,124,
588343523704967168,CBSNews,Cameroon villagers stumble across U.S. pilot's remains nearly a year after plane disappears http://t.co/eSRNJeiP4S http://t.co/DW6QgYm7lD,11,12,http://cbsn.ws/1E296TO
588340333475471361,CBSNews,People who've been divorced face higher risk of heart attack http://t.co/4oYMJRavo6,15,39,http://cbsn.ws/1J2IIqH
588333177170747392,CBSNews,3 reasons why you're more likely to suffer from nightmares: http://t.co/lDaQRPJ0Hc http://t.co/qwodHart3D,24,31,http://cbsn.ws/1Oe63Hz
588321156584837120,CBSThisMorning,"Your world in 90 seconds. Watch this morning's Eye Opener: http://t.co/ykHAJMSjRU
#newsisback",16,13,http://cbsn.ws/1J2sNsq
588316006633865216,CBSNews,"Right-wing group blamed for posting top federal law officials' personal info online; call them ""evil NWO satanists"" - http://t.co/jp7myEGVSq",8,15,http://cbsn.ws/1yrd3yP
588313399613874176,CBSNews,"EU hits Google with antitrust complaint, alleging abuses in its dominance in Internet searches - http://t.co/4BF6x95MbW",10,17,http://cbsn.ws/1b2QlTw
588308289601015808,CBSNews,Boston bombing 2nd anniversary; Russia testing British airspace; and more in This Morning from CBS News - http://t.co/nq5FIDY1LM,16,23,http://cbsn.ws/1J2nsBi
588296707428978688,CBSNews,"Americans weigh in on the possible death penalty for the now-convicted Boston Marathon bomber, in a new CBS News poll http://t.co/2dLHLTn7EF",13,20,http://cbsn.ws/1J2jgl1
588275195623931904,CBSNews,Dozens of farmers in India have killed themselves recently. Here's why. http://t.co/3OtgnYqymv,12,31,http://cbsn.ws/1FSWV9b
588253285406154752,CBSNews,"Hillary Clinton's father's gravestone has been toppled in a Scranton, Pa. cemetery  http://t.co/kTxtslKaKb http://t.co/jKvJyPLKSW",28,66,http://cbsn.ws/1JJLwKg
588183757775118336,CBSNews,LOOK: @HillaryClinton isn't the only politician who likes fast food http://t.co/3VvcQ8E0SP http://t.co/EXZ7y6ZBdf,55,58,http://cbsn.ws/1ObX9u1
588176177015222273,CBSNews,"It's a girl, times five! Texas couple welcomes all-girl quintuplets: http://t.co/7JtE6mhxvm http://t.co/6Z9uqxsTXO",115,74,http://cbsn.ws/1E0OqeU
588171151656034304,CBSNews,"Florida beach city may cancel Spring Break after gang rape, shooting: http://t.co/bioGCXjefC",40,57,http://cbsn.ws/1b17Vr9
588165011048103936,CBSNews,"Hackers could break into airplane computer systems through the same Wi-Fi passengers use, GAO report says: http://t.co/r4Qm3nMwuQ",21,84,http://cbsn.ws/1J1kxsB
588161607454355457,CBSNews,"CEO cuts his own salary to raise minimum salary of every employee to $70,000 http://t.co/fklPss2m4t http://t.co/UxzNQbuNYM",267,286,http://cbsn.ws/1b107W8
588156817164865536,CBSNews,President Abraham Lincoln was assassinated 150 years ago today http://t.co/eYSS734brK http://t.co/yhfirQWSci,186,351,http://cbsn.ws/1J0OE3m
588153976249516034,CBSSports,"The gloves are on.

Floyd Mayweather training session - broadcasting LIVE on Periscope: https://t.co/V9jFhgzdwV http://t.co/2HCqyKJen8",85,61,https://www.periscope.tv/w/Vw7rijEwNjM3NDd8NDY2MDYzMvTGI4CFIfgzZZT2vGMCTzWYaG9Esx2o_iQJl3m-v7ze
588152033477267457,CBSNews,"Senate bill on Iran nuclear deal is ""kind of compromise the president would be willing to sign,"" White House now says http://t.co/HhzDEYkx6Z",14,15,http://cbsn.ws/1J0OY23
588147528274747394,CBSNews,"PHOTOS: These animals were at the wrong place, at the wrong time http://t.co/pZ6zWc2gWU http://t.co/27G92yCess",22,28,http://cbsn.ws/1ypbxgB
588143232959303680,CBSNews,5 steps you can take to protect your aging brain: http://t.co/Kw5AIKu2Wf via @CBSHealth,35,43,http://cbsn.ws/1b0V5ZY
588136684207898624,CBSNews,Did you know these foods could (technically) kill you? http://t.co/ikKEBMEzVl http://t.co/IRm1dyer04,32,45,http://cbsn.ws/1J0OgBU
588131906027388928,CBSNews,"Parents, beware: Popular new live-casting app may be your worst nightmare http://t.co/DV35fyqzVq http://t.co/2KQ68zWVUZ",44,58,http://cbsn.ws/1b0VOub
588126853795340290,CBSNews,"At first formal event, @HillaryClinton lays out 4 specific priorities of her campaign http://t.co/mRF1lWd3Ai http://t.co/5T2lizi1rY",66,86,http://cbsn.ws/1FRYBjo
588122326404886529,CBSNews,"Mom accused of leaving quadriplegic son in woods faces attempted murder charge, police say http://t.co/3XoQt8gb5p",40,50,http://cbsn.ws/1FRWr3c
588118299935899648,CBSNews,WATCH: Graphic dashcam video shows Arizona police car ramming suspect http://t.co/1NLJxU7bin http://t.co/ur7OYooVR3,34,62,http://cbsn.ws/1E0nThK
588113783677136896,CBSNews,If you haven't filed your taxes yet — don't panic! http://t.co/1gaWlaTOGO,15,9,http://cbsn.ws/1FRVvMd
588109505977782272,CBSNews,"VIDEO: Mob of high schoolers swarm gas station, beat man reportedly helping older woman to car http://t.co/HQi9m7CH7L http://t.co/BqNWkz19kH",29,69,http://cbsn.ws/1PJykt8
588104970777526272,CBSNews,All but 1 of 10 former Atlanta public school educators convicted in Atlanta test-cheating case get jail time http://t.co/GZeTXJFjxW,20,34,http://cbsn.ws/1H4TwWu
588100948549115904,CBSNews,Man accused of killing gay N.C. community college worker says victim molested his relative http://t.co/BrguBqjWNm http://t.co/hk7nr0dxc1,12,32,http://cbsn.ws/1HpsglY
588095941586067456,CBSNews,"This lake, covered in dead fish, slated to hold Olympic rowing competitions during 2016 games http://t.co/BexfJPQKzO http://t.co/xI8QPSKkm2",42,90,http://cbsn.ws/1PJcxlp
588090288209534976,CBSNews,LOOK: Protesters demonstrating against police brutality shut down Brooklyn Bridge http://t.co/7cb1dySjPB - @CBSNLive http://t.co/3yJafnlpmy,80,182,http://cbsn.ws/1aQnMIk
588086870032130048,CBSNews,"Strange cause found for woman's case of ""burning mouth syndrome"" http://t.co/9yTLYLjg3C",16,22,http://cbsn.ws/1ObjKa2
588082584892112896,CBSNews,"LOOK: @HillaryClinton's ""Scooby-Doo"" van spotted in Iowa http://t.co/5yewqhhaTv http://t.co/5zwcWRBtT1",45,43,http://cbsn.ws/1DZYEfB
588077546102792192,CBSNews,"WATCH: Buckingham Palace guard slips, falls down during changing of the guard http://t.co/mefV4pW7kK http://t.co/Q2SkZ2SP0I",57,89,http://cbsn.ws/1FRtGDL
588074288055513090,CBSNews,"2 TSA screeners fired for setting up system that allowed 1 to grope ""attractive"" men's genitals, @CBSDenver finds http://t.co/urkEQGsO73",22,46,http://cbsn.ws/1JI8ql9
