twid,href
564997247314558976,http://www.cnn.com/2015/02/09/us/suspect-takes-selfie-with-homicide-victim/index.html
562742967480619008,http://www.cnn.com/2015/02/03/entertainment/felicity-jones-star-wars-feat/index.html
562834735215677440,http://www.cnn.com/2015/02/03/us/new-york-train-collision/index.html
562805150436585473,http://www.cnn.com/2015/02/03/us/new-york-train-collision/index.html
562834735215677440,http://www.cnn.com/2015/02/03/us/new-york-train-collision/index.html
562805150436585473,http://www.cnn.com/2015/02/03/us/new-york-train-collision/index.html
563313689634156547,http://money.cnn.com/2015/02/04/technology/anthem-insurance-hack-data-security/index.html
563571570212610048,http://www.cnn.com/2015/02/05/asia/taiwan-plane-crash-transasia/index.html
565207349410164737,http://money.cnn.com/2015/02/10/technology/anonymous-isis-hack-twitter/index.html
565294181699297281,http://money.cnn.com/2015/02/10/technology/zuckerberg-house-extortion/index.html
563064519808004096,http://www.cnn.com/2015/02/04/travel/feat-manatees-crowd-three-sisters-springs-florida/index.html
563102284511334400,http://www.cnn.com/2015/02/04/us/navy-carrier-through-rainbow/index.html
562535087733231616,http://www.cnn.com/2015/02/03/us/weather/index.html
562560447103381504,http://www.cnn.com/2015/02/03/europe/france-terror-arrests/index.html
565400393380032512,http://www.cnn.com/2015/02/10/middleeast/yemen-unrest/index.html
565400393380032512,http://www.cnn.com/2015/02/10/middleeast/yemen-unrest/index.html
563775863695884288,http://www.cnn.com/2015/02/06/politics/alan-nunnelee-dies/index.html
563776365636644864,http://www.cnn.com/2015/02/06/world/isis-jordan/index.html
562611595063209985,http://www.cnn.com/2015/02/02/us/warren-sapp-arrest/index.html
562733092742639617,http://www.cnn.com/2015/02/03/politics/isis-footprint-grows/index.html
563906283565113346,http://www.cnn.com/2015/02/06/politics/obama-isis-crusades-comparison/index.html
565611766668091392,https://twitter.com/theleadcnn/status/565611268040830976
565612705823064066,http://ireport.cnn.com/docs/DOC-1215085
565595173867233280,http://www.cnn.com/2015/02/11/world/costa-concordia-trial/index.html
565692817239187456,https://twitter.com/outfrontcnn/status/565663970837934082
565702109614862336,http://www.cnn.com/2015/02/11/us/bob-simon-dies/index.html
565837009319919617,http://www.cnn.com/2015/02/12/tech/mci-saffir-robot/index.html
566056977659600896,http://money.cnn.com/2015/02/12/investing/buy-gold-market-fear/index.html
564529195108536320,http://www.cnn.com/2015/02/08/europe/greece-prime-minister/index.html
564551660148895746,http://www.cnn.com/videos/world/2015/02/08/pkg-shubert-orig-king-and-queen-of-jordan.cnn
563727556709744640,http://www.cnn.com/2015/02/06/europe/vatican-pope-spanking-children/index.html
563884309992701954,http://money.cnn.com/2015/02/06/technology/facebook-censorship/index.html
566012044470919169,http://www.cnn.com/videos/us/2015/02/12/lead-dnt-brown-white-house-mueller.cnn
566034161602146305,http://www.cnn.com/2015/02/11/us/chapel-hill-shooting/index.html
566198794401099777,http://money.cnn.com/2015/02/12/news/economy/colorado-marijuana-tax-revenue/index.html
566250567475789825,http://www.cnn.com/2015/02/12/asia/china-fossils-early-mammals/index.html
564797558879686657,http://www.cnn.com/2015/02/09/entertainment/feat-grammys-2015-wrap-sam-smith-kanye/index.html
566282705353310208,http://www.cnn.com/2015/02/13/entertainment/feat-breakfast-club-theaters-anniversary/index.html
566414474404708352,http://www.cnn.com/2015/02/13/us/ohio-hero-dog/index.html
567059218323484673,http://www.cnn.com/2015/02/12/politics/obama-selfies-video-buzzfeed/index.html
566659988836581377,http://www.cnn.com/videos/world/2015/02/14/nr-denmark-shooting-witness-heard-gunshots-person-yelling-arabic.cnn
567045964704530433,http://www.cnn.com/2015/02/15/politics/drones-faa-rules-commercial-flights/index.html
566979005916905472,http://www.cnn.com/2015/02/15/politics/isis-aumf-leon-panetta-obama/index.html
566698098597318656,http://www.cnn.com/2015/02/14/us/weather-winter-storm/index.html
566975790848688128,http://www.cnn.com/2015/02/14/middleeast/isis-iraq-syria/index.html
571076552542330880,http://www.cnn.com/2015/02/26/politics/missouri-politician-suicide/index.html
566964975751942145,http://www.cnn.com/2015/02/15/us/lax-scorpion-plane/index.html
567466253116526592,http://www.cnn.com/2015/02/16/living/religion-week-hell/index.html
567080206603943936,http://www.cnn.com/2015/02/15/entertainment/trailer-park-crimson-peak-feat/index.html
567020587277492224,http://www.cnn.com/2015/02/14/us/nasa-study-western-megadrought/index.html
567156457699692547,http://www.cnn.com/2015/02/15/politics/kate-brown-oregon-governor/index.html
569239618853470208,http://www.cnn.com/2015/02/21/entertainment/feat-cobain-credit-card-sale/index.html
567386151141781505,http://money.cnn.com/gallery/news/economy/2014/07/03/presidents-minimum-wage/index.html
572014905844482048,http://www.cnn.com/2015/03/01/us/california-street-racing-deaths/index.html
565647665959288833,http://www.cnn.com/2015/02/11/politics/boehner-obama-keystone-veto/index.html
567454895859847170,http://www.cnn.com/2015/02/16/entertainment/feat-lesley-gore-obit/index.html
565695406697611265,http://money.cnn.com/2015/02/11/news/companies/powerball-lottery-prize/index.html
568724755471306752,http://www.cnn.com/2015/02/19/us/las-vegas-road-rage-killing/index.html
568877859575459841,http://www.cnn.com/2015/02/20/europe/uk-syria-missing-girls/index.html
569534873955905536,http://www.cnn.com/2015/02/20/us/alabama-same-sex-marriage/index.html
568953326299017216,http://www.cnn.com/2015/02/20/asia/hong-kong-photographer-maid/index.html
567662472099024896,http://www.cnn.com/2015/02/17/us/winter-weather/index.html
569159046294601728,http://www.cnn.com/2015/02/21/us/minneapolis-police-officer-shot/index.html
572576730986221568,http://bleacherreport.com/articles/2382868-how-many-michael-jordan-endorsed-products-could-mj-buy-with-his-billion-dollars
567694406292361216,http://money.cnn.com/2015/02/17/media/jose-antonio-vargas-los-angeles-times/index.html
572864107642159104,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/
569508340444868608,http://www.cnn.com/2015/02/22/politics/johnson-giulianis-comments-very-regrettable/index.html
569519287557357568,http://www.cnn.com/2015/02/22/politics/jeh-johnson-immigration-appeal-monday/index.html
569525335248797696,http://www.cnn.com/2015/02/20/politics/scott-walker-rudy-giuliani-safe-politics/index.html
572855845316263937,http://www.cnn.com/2015/03/02/politics/dhs-shutdown-john-boehner-house-vote/index.html
572783959576326144,http://www.cnn.com/2015/03/02/politics/dhs-shutdown-john-boehner-house-vote/index.html
572855845316263937,http://www.cnn.com/2015/03/02/politics/dhs-shutdown-john-boehner-house-vote/index.html
572783959576326144,http://www.cnn.com/2015/03/02/politics/dhs-shutdown-john-boehner-house-vote/index.html
572797021809221633,http://politicslive.cnn.com/Event/Live_blog_Netanyahu_speaks_to_Congress
572818537183649793,http://www.cnn.com/2015/03/03/politics/clinton-emails-cummings-gowdy-benghazi/index.html
573063136191877120,http://www.cnn.com/2015/03/03/politics/monica-lewinsky-ted-talk/index.html
573050600813928448,http://www.cnn.com/2015/03/03/politics/snowden-ready-to-return-to-united-states/index.html
572903357314162689,http://www.cnn.com/videos/world/2015/03/03/lead-dnt-labott-netanyahu-speech-israel.cnn
572930955851251712,http://www.cnn.com/2015/03/03/politics/justice-report-ferguson-discrimination/index.html
572900851569856513,http://www.cnn.com/2015/03/03/politics/justice-report-ferguson-discrimination/index.html
572930955851251712,http://www.cnn.com/2015/03/03/politics/justice-report-ferguson-discrimination/index.html
572900851569856513,http://www.cnn.com/2015/03/03/politics/justice-report-ferguson-discrimination/index.html
565976514148442112,http://www.cnn.com/2015/02/12/politics/ash-carter-confirmation/index.html
572948411885998080,http://www.cnn.com/2015/03/03/politics/hillary-clinton-emails-election-2016/index.html
566028411257491457,http://www.cnn.com/2015/02/11/opinion/masmoudi-unc-shooting/index.html
570170892233396224,http://money.cnn.com/2015/02/23/technology/apple-diverse-emoji/index.html
567947037913665537,http://money.cnn.com/2015/02/17/technology/samsung-lg-washing-machine/index.html
568349997005213696,http://www.cnn.com/2015/02/17/politics/isis-obama-extremism-summit/index.html
569895933334441984,http://www.cnn.com/2015/02/23/travel/cruise-critic-cruisers-awards-2015-feat/index.html
570206692450787329,http://www.cnn.com/2015/02/24/us/winter-weather/index.html
568216347387277312,http://www.cnn.com/2015/02/18/politics/ferguson-justice-department-lawsuit/index.html
570241481233047553,http://www.cnn.com/2015/02/24/europe/czech-shooting/index.html
570040027725635585,http://www.cnn.com/2015/02/23/us/las-vegas-shooting/index.html
570362405437337600,http://www.cnn.com/2015/02/24/us/alaska-marijuana/index.html
568456348104593408,http://www.cnn.com/2015/02/08/asia/gallery/lunar-new-year-2015/index.html
573559232458436609,http://www.cnn.com/2015/03/05/tech/balloons-fly-edge-of-space/index.html
573635460561563648,http://www.cnn.com/videos/tv/2015/03/05/lead-intv-joffe-stern-passengers-la-guardia-plane-skid.cnn
569513090905214976,http://money.cnn.com/video/media/2015/02/17/making-oscar-statue.cnnmoney/index.html
568561057930870786,http://money.cnn.com/2015/02/19/news/companies/walmart-wages-schedules/index.html
573634094845857792,http://money.cnn.com/2015/03/05/technology/waterproof-iphone-patent/index.html
570733608580882433,http://www.cnn.com/2015/02/25/world/boko-haram-lister-analysis/index.html
574223091250786305,http://www.cnn.com/shows/finding-jesus
571686371900854272,http://www.cnn.com/shows/finding-jesus
573980117241884672,http://www.cnn.com/2015/03/06/us/mars-ocean-water-study/index.html
568370256449835008,http://www.cnn.com/2015/02/19/politics/poll-obama-approval-rating-economy/index.html
570972920996110336,http://www.cnn.com/2015/02/25/entertainment/feat-antm-contestant-death/index.html
557356786471411712,http://www.cnn.com/videos/world/2015/01/19/tsr-dnt-starr-us-alert-level-yemen.cnn
570716984771547136,http://www.cnn.com/2015/02/25/world/amanpour-russia-dmitry-peskov/index.html
571520195166011393,http://www.cnn.com/2015/02/25/travel/seville-expo-cnngo/index.html
568515492857511937,http://www.cnn.com/videos/us/2015/02/19/newday-wheel-of-fortune-one-letter-guess.cnn
568509696291643392,http://www.cnn.com/2015/02/19/us/las-vegas-road-rage-killing/index.html
574587766463397888,http://www.cnn.com/2015/03/07/living/feat-vogue-editor-homeless-picture-paris/index.html
557727649607741441,http://money.cnn.com/interactive/pf/cost-of-children
557726728324665344,http://money.cnn.com/2015/01/20/news/economy/paid-sick-leave/index.html
557733742593470465,http://money.cnn.com/2014/09/22/technology/security/hacker-safety-tips/index.html
568572913584119808,http://www.cnn.com/2015/02/19/politics/obama-bush-islam/index.html
568572744855642113,http://www.cnn.com/2015/02/19/health/dietary-guidelines/index.html
574984267958259713,http://www.cnn.com/2015/03/09/opinions/obrien-life-lost-and-found/index.html
568785236944932864,http://www.cnn.com/2015/02/13/living/gallery/new-york-fashion-week-2015-feat/index.html
568811081457651712,http://www.cnn.com/2013/02/21/showbiz/gallery/memorable-oscar-fashion/index.html
558391635978223616,http://www.cnn.com/2015/01/22/world/drug-drone-crashes-us-mexico-border/index.html
558466684122447873,http://www.cnn.com/2015/01/22/asia/japan-naval-ship-grounded/index.html
575302688507715584,http://money.cnn.com/2015/03/10/technology/apple-12-inch-macbook/index.html
558761221449453568,http://www.cnn.com/2015/01/23/us/feat-doomsday-clock-three-minutes-midnight/index.html
558776323028426753,http://www.cnn.com/2015/01/23/politics/youtube-obama-interview/index.html
568983538155933698,http://www.cnn.com/videos/entertainment/2015/02/20/lead-dnt-tapper-oscars-gift-bag.cnn
568933035829297154,http://www.cnn.com/2015/02/20/middleeast/dubai-tower-fire/index.html
568921125692018688,http://www.cnn.com/2015/02/20/us/winter-weather-deaths/index.html
575638503150776320,http://www.cnn.com/2015/03/11/us/florida-army-helicopter/index.html
575638503150776320,http://www.cnn.com/2015/03/11/us/florida-army-helicopter/index.html
571929392655548416,http://www.cnn.com/2015/02/28/americas/venezuela-us-pilot/index.html
572328394093953024,http://www.cnn.com/2015/03/01/us/cleveland-responds-lawsuit-police-shooting-tamir-rice/index.html
572107088542998528,http://www.cnn.com/2015/03/01/us/cleveland-responds-lawsuit-police-shooting-tamir-rice/index.html
572328394093953024,http://www.cnn.com/2015/03/01/us/cleveland-responds-lawsuit-police-shooting-tamir-rice/index.html
572107088542998528,http://www.cnn.com/2015/03/01/us/cleveland-responds-lawsuit-police-shooting-tamir-rice/index.html
569094399692554240,http://www.cnn.com/2015/02/21/europe/ukraine-conflict/index.html
572502009535991808,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/
572360848196440065,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/
572502009535991808,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/
572360848196440065,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/
561194556868538369,http://www.cnn.com/2015/01/30/politics/romney-2016-call/index.html
559166539807850496,http://www.cnn.com/2015/01/23/middleeast/yemen-whos-in-charge/index.html
572403587575238657,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/
569525389858627584,http://www.cnn.com/2015/02/22/world/gallery/dalai-lama/index.html
562021946461003777,http://money.cnn.com/2015/02/01/media/super-bowl-i-missing-tape/index.html
559387787913617408,http://www.cnn.com/2015/01/25/us/georgia-kendrick-johnson-parents-protest/index.html
562035968837165057,http://money.cnn.com/2015/01/31/media/super-bowl-advertisers/index.html
562052756018843648,http://money.cnn.com/2015/01/30/news/economy/super-bowl-tickets-expensive/index.html
562070685678587904,http://money.cnn.com/2015/01/30/news/companies/richest-nfl-team-owners/index.html
562056804897939456,http://money.cnn.com/2015/01/27/media/nfl-super-bowl-ad-domestic-violence/index.html
562041070843101184,http://money.cnn.com/gallery/media/2015/01/16/super-bowl-ads/index.html
