src,filename,href,title
cnn,18b2LGN,http://www.cnn.com/2015/03/11/us/florida-army-helicopter/index.html,Black Hawk crashes off Florida; human remains found - CNN.com
cnn,18b2LGN,http://www.cnn.com/2015/03/11/us/florida-army-helicopter/index.html,Black Hawk crashes off Florida; human remains found - CNN.com
cnn,18b798t,http://www.cnn.com/2015/02/28/americas/venezuela-us-pilot/index.html,Maduro says Venezuela has detained Americans - CNN.com
cnn,18BwIRp,http://www.cnn.com/2015/03/01/us/cleveland-responds-lawsuit-police-shooting-tamir-rice/index.html,"Cleveland:Police shooting death of boy, 12, his fault - CNN.com"
cnn,18BwIRp,http://www.cnn.com/2015/03/01/us/cleveland-responds-lawsuit-police-shooting-tamir-rice/index.html,"Cleveland:Police shooting death of boy, 12, his fault - CNN.com"
cnn,18c2AvD,http://www.cnn.com/2015/02/21/europe/ukraine-conflict/index.html,Ukraine: Kerry threatens more sanctions against Russia - CNN.com
cnn,18C5muf,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/,The poor kids of Silicon Valley
cnn,18C5muf,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/,The poor kids of Silicon Valley
cnn,18CouYN,http://www.cnn.com/2015/01/30/politics/romney-2016-call/index.html,Romney to indicate 2016 intentions on call with supporters - CNN.com
cnn,18dizt9,http://www.cnn.com/2015/01/23/middleeast/yemen-whos-in-charge/index.html,Who's in charge in Yemen? - CNN.com
cnn,18EhfA0,http://www.cnn.com/interactive/2015/03/opinion/ctl-child-poverty/,The poor kids of Silicon Valley
cnn,18erlan,http://www.cnn.com/2015/02/22/world/gallery/dalai-lama/index.html,The Dalai Lama: Tibet's spiritual leader - CNN.com
cnn,18FPIOj,http://money.cnn.com/2015/02/01/media/super-bowl-i-missing-tape/index.html,"The tale of the missing Super Bowl I tape - Feb. 1, 2015 "
cnn,18fQAJ8,http://www.cnn.com/2015/01/25/us/georgia-kendrick-johnson-parents-protest/index.html,Kendrick Johnson's parents could be jailed for protest - CNN.com
cnn,18FRI9d,http://money.cnn.com/2015/01/31/media/super-bowl-advertisers/index.html,"What Super Bowl? The Ad Bowl has already begun - Jan. 31, 2015 "
cnn,18FRP4K,http://money.cnn.com/2015/01/30/news/economy/super-bowl-tickets-expensive/index.html,"Super Bowl tickets are most expensive ever - Jan. 30, 2015 "
cnn,18FRY82,http://money.cnn.com/2015/01/30/news/companies/richest-nfl-team-owners/index.html,"Seahawks' Paul Allen is the NFL's richest team owner - Jan. 30, 2015 "
